TOTAL;MILLESIME;NOMBRE;TYPE;TONNNE_CO2_EMIS
Distance totale annuelle en km;2023;1543277526;Ensemble;37655,97163
Distance totale annuelle en km;2024;1700541297;Ensemble;41493,20765
Distance totale annuelle en km;2023;527426944;Jeunes;12869,21743
Distance totale annuelle en km;2024;600444042;Jeunes;14650,83462
Distance totale annuelle en km;2023;422712145;Fréquents;10314,17634
Distance totale annuelle en km;2024;375356230;Fréquents;9158,692012
Distance totale annuelle en km;2023;1053667992;Occasionnels;25709,499
Distance totale annuelle en km;2024;1167013440;Occasionnels;28475,12794
Distance totale annuelle en km;2023;68309736;+=;1666,757558
Distance totale annuelle en km;2024;143000924;+=;3489,222546
Distance totale annuelle en km;2023;43857622;WE 1‚Ç¨;1070,125977
Distance totale annuelle en km;2024;53399052;WE 1‚Ç¨;1302,936869